"","Overall","1","2","p","test","Missing"
"n","       147","        48","        99","","","   "
"patient_site_uid (mean (SD))","4049260.29 (2263359.47)","4238873.23 (2170003.32)","3957326.75 (2312448.08)"," 0.481","","0.0"
"patient_age (mean (SD))","     61.73 (15.13)","     62.98 (13.27)","     61.12 (15.98)"," 0.487","","0.0"
"hemoglobin_min (mean (SD))","    112.61 (21.40)","     99.62 (19.10)","    118.90 (19.62)","<0.001","","0.0"
"plt_max (mean (SD))","    244.25 (108.57)","    272.58 (113.23)","    230.52 (104.05)"," 0.027","","0.0"
"wbc_mean (mean (SD))","     12.40 (40.93)","     11.78 (5.68)","     12.70 (49.80)"," 0.899","","0.0"
"neutrophil_mean (mean (SD))","      7.66 (4.90)","     10.74 (6.78)","      6.17 (2.61)","<0.001","","0.0"
"lymph_min (mean (SD))","      0.78 (0.57)","      0.72 (0.73)","      0.81 (0.48)"," 0.335","","0.0"
"mono_max (mean (SD))","      0.60 (0.38)","      0.73 (0.51)","      0.53 (0.28)"," 0.003","","0.0"
"baso_min (%)","        ","        ","        "," 0.490","","0.0"
"   0","        94 (63.9) ","        30 (62.5) ","        64 (64.6) ","","","   "
"   0.01","        39 (26.5) ","        12 (25.0) ","        27 (27.3) ","","","   "
"   0.02","        10 ( 6.8) ","         4 ( 8.3) ","         6 ( 6.1) ","","","   "
"   0.03","         1 ( 0.7) ","         0 ( 0.0) ","         1 ( 1.0) ","","","   "
"   0.04","         1 ( 0.7) ","         0 ( 0.0) ","         1 ( 1.0) ","","","   "
"   0.06","         1 ( 0.7) ","         1 ( 2.1) ","         0 ( 0.0) ","","","   "
"   0.1","         1 ( 0.7) ","         1 ( 2.1) ","         0 ( 0.0) ","","","   "
"eos_min (%)","        ","        ","        "," 0.039","","0.0"
"   0","        98 (66.7) ","        29 (60.4) ","        69 (69.7) ","","","   "
"   0.01","        14 ( 9.5) ","         5 (10.4) ","         9 ( 9.1) ","","","   "
"   0.02","         7 ( 4.8) ","         3 ( 6.2) ","         4 ( 4.0) ","","","   "
"   0.03","         3 ( 2.0) ","         0 ( 0.0) ","         3 ( 3.0) ","","","   "
"   0.04","         8 ( 5.4) ","         3 ( 6.2) ","         5 ( 5.1) ","","","   "
"   0.07","         2 ( 1.4) ","         0 ( 0.0) ","         2 ( 2.0) ","","","   "
"   0.08","         1 ( 0.7) ","         1 ( 2.1) ","         0 ( 0.0) ","","","   "
"   0.09","         2 ( 1.4) ","         0 ( 0.0) ","         2 ( 2.0) ","","","   "
"   0.1","         2 ( 1.4) ","         0 ( 0.0) ","         2 ( 2.0) ","","","   "
"   0.11","         1 ( 0.7) ","         0 ( 0.0) ","         1 ( 1.0) ","","","   "
"   0.12","         1 ( 0.7) ","         0 ( 0.0) ","         1 ( 1.0) ","","","   "
"   0.16","         1 ( 0.7) ","         0 ( 0.0) ","         1 ( 1.0) ","","","   "
"   0.2","         4 ( 2.7) ","         4 ( 8.3) ","         0 ( 0.0) ","","","   "
"   0.4","         3 ( 2.0) ","         3 ( 6.2) ","         0 ( 0.0) ","","","   "
