"","Overall","1","2","p","test","Missing"
"n","       866","       249","       617","","","   "
"patient_site_uid (mean (SD))","3674669.94 (2387277.85)","3505571.06 (2416521.17)","3742912.44 (2373935.08)"," 0.186","","0.0"
"patient_age (mean (SD))","     68.81 (18.81)","     75.51 (12.32)","     66.11 (20.26)","<0.001","","0.0"
"hemoglobin_min (mean (SD))","    116.08 (19.89)","    113.49 (18.64)","    117.13 (20.29)"," 0.015","","0.0"
"plt_max (mean (SD))","    244.38 (107.23)","    246.75 (110.98)","    243.42 (105.76)"," 0.680","","0.0"
"wbc_mean (mean (SD))","      7.68 (8.25)","      7.56 (3.60)","      7.73 (9.50)"," 0.781","","0.0"
"neutrophil_mean (mean (SD))","      5.47 (3.45)","      5.60 (3.20)","      5.41 (3.55)"," 0.470","","0.0"
"lymph_min (mean (SD))","      0.99 (0.96)","      0.98 (0.97)","      0.99 (0.96)"," 0.847","","0.0"
"mono_max (mean (SD))","      0.71 (0.50)","      0.73 (0.47)","      0.70 (0.51)"," 0.366","","0.0"
"baso_min (mean (SD))","      0.01 (0.01)","      0.01 (0.02)","      0.01 (0.01)"," 0.354","","0.0"
"eos_min (mean (SD))","      0.04 (0.10)","      0.04 (0.13)","      0.04 (0.09)"," 0.468","","0.0"
"sodium_mean (mean (SD))","    139.24 (4.42)","    139.12 (4.64)","    139.28 (4.33)"," 0.620","","0.0"
"potassium_mean (mean (SD))","      3.95 (0.43)","      4.04 (0.45)","      3.92 (0.42)","<0.001","","0.0"
"creatinine_mean (mean (SD))","    108.86 (127.72)","    140.47 (166.61)","     96.10 (105.66)","<0.001","","0.0"
"fio2_mean (mean (SD))","     34.44 (20.87)","     36.66 (22.55)","     33.54 (20.10)"," 0.046","","0.0"
"so2_min (mean (SD))","     89.96 (7.74)","     88.08 (8.82)","     90.72 (7.13)","<0.001","","0.0"
"temp_mean (mean (SD))","     36.86 (0.57)","     36.84 (0.53)","     36.87 (0.59)"," 0.531","","0.0"
"sbp_mean (mean (SD))","    129.45 (16.87)","    135.91 (17.74)","    126.85 (15.79)","<0.001","","0.0"
"dbp_mean (mean (SD))","     71.91 (8.91)","     71.66 (8.47)","     72.02 (9.09)"," 0.594","","0.0"
"rr_mean (mean (SD))","     20.51 (2.69)","     20.68 (2.57)","     20.45 (2.73)"," 0.250","","0.0"
"anticholesteremic_agents = 1 (%)","       266 (30.7) ","       190 (76.3) ","        76 (12.3) ","<0.001","","0.0"
"male = 1 (%)","       455 (52.5) ","        97 (39.0) ","       358 (58.0) ","<0.001","","0.0"
"bronchodilator_agents = 1 (%)","       256 (29.6) ","        92 (36.9) ","       164 (26.6) "," 0.003","","0.0"
"antihypertensive_agents = 1 (%)","       370 (42.7) ","       210 (84.3) ","       160 (25.9) ","<0.001","","0.0"
"diuretics = 1 (%)","       203 (23.4) ","       104 (41.8) ","        99 (16.0) ","<0.001","","0.0"
"hypoglycemic_agents = 1 (%)","       257 (29.7) ","       166 (66.7) ","        91 (14.7) ","<0.001","","0.0"
"platelet_aggregation_inhibitors = 1 (%)","       222 (25.6) ","       147 (59.0) ","        75 (12.2) ","<0.001","","0.0"
"sedation = 1 (%)","        63 ( 7.3) ","        20 ( 8.0) ","        43 ( 7.0) "," 0.689","","0.0"
"vasopressors = 1 (%)","       119 (13.7) ","        42 (16.9) ","        77 (12.5) "," 0.112","","0.0"
"mv = 1 (%)","        66 ( 7.6) ","        20 ( 8.0) ","        46 ( 7.5) "," 0.882","","0.0"
"levelofcare = 1 (%)","       785 (90.6) ","       229 (92.0) ","       556 (90.1) "," 0.472","","0.0"
"wave = 1 (%)","       444 (51.3) ","       135 (54.2) ","       309 (50.1) "," 0.304","","0.0"
"icu = 1 (%)","       150 (17.3) ","        51 (20.5) ","        99 (16.0) "," 0.144","","0.0"
"death = 1 (%)","       115 (13.3) ","        36 (14.5) ","        79 (12.8) "," 0.590","","0.0"
"cluster (mean (SD))","      1.71 (0.45)","      1.00 (0.00)","      2.00 (0.00)","<0.001","","0.0"
