MCA comp,eigenvalue,percentage of variance,cumulative percentage of variance
dim 1,0.04641677573503086,4.228062740220631,4.228062740220631
dim 2,0.036594086543398734,3.3333227346462198,7.561385474866851
dim 3,0.02907029918813793,2.6479876488204837,10.209373123687335
dim 4,0.023374564787315477,2.1291682776564587,12.338541401343793
dim 5,0.023250526036229572,2.1178696983496237,14.456411099693417
dim 6,0.020606492416058435,1.8770270319577973,16.333438131651214
dim 7,0.020214091994470874,1.8412836272191284,18.17472175887034
dim 8,0.019414507384178242,1.7684501775687103,19.943171936439054
dim 9,0.018949723999213908,1.7261134731957215,21.669285409634774
dim 10,0.018253314224612256,1.6626781273904225,23.331963537025196
