MCA comp,eigenvalue,percentage of variance,cumulative percentage of variance
dim 1,0.15324388892166155,15.32438889216611,15.32438889216611
dim 2,0.09939236164613525,9.939236164613497,25.26362505677961
dim 3,0.07771282793608905,7.771282793608883,33.03490785038849
dim 4,0.07114418526328467,7.114418526328446,40.149326376716935
dim 5,0.06440046695815312,6.440046695815294,46.58937307253223
dim 6,0.05202630682771154,5.202630682771138,51.79200375530337
dim 7,0.047777859193454876,4.777785919345474,56.569789674648845
dim 8,0.04245498170022756,4.245498170022744,60.81528784467159
dim 9,0.04109189931456788,4.109189931456776,64.92447777612837
dim 10,0.040939094005764454,4.093909400576433,69.01838717670479
