PCA comp,eigenvalue,percentage of variance,cumulative percentage of variance
comp 1,6.403692122294409,12.314792542873866,12.314792542873866
comp 2,6.098394635756282,11.727681991839008,24.042474534712873
comp 3,4.3117935911040215,8.29191075212312,32.334385286835996
comp 4,3.3582301821048652,6.4581349655862805,38.79252025242228
comp 5,3.114822031627538,5.990042368514499,44.78256262093677
comp 6,2.8686818193388963,5.516695806420955,50.29925842735773
comp 7,2.746153802209764,5.281065004249547,55.580323431607276
comp 8,2.323908533926945,4.469054872936434,60.04937830454371
comp 9,2.2175141220008148,4.264450234616953,64.31382853916067
comp 10,1.8944357308435353,3.6431456362375694,67.95697417539823
