Variables,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
patient_age,0.04591513396802608,0.2175905067697375,0.17120520285727236,1.7125381765559833,0.19028618419944138
hemoglobin_min,0.2304863795922623,2.065900598638807,5.9151469716074,5.503049459169052,3.048573018934005
hemoglobin_max,0.2774062240866816,0.7547870518452652,5.869994367771004,3.958454920562917,3.6710277683048678
hemoglobin_mean,0.25870670819701436,1.513620415743026,6.2992682933272786,5.072574610584364,3.5578704570214432
plt_min,5.300965982028067,0.2059819653798179,0.723002615127636,0.06321793562754821,5.1480257706569565
plt_max,5.400245307627465,0.0077370279861538604,0.5982132111133547,0.01649340036902911,5.574604094927897
plt_mean,5.277968980688209,0.03703280395915038,0.6398776352778204,0.06051562745430696,5.612801644429898
wbc_min,8.880232880743339,1.7409504915486924,1.6217414789876654,0.16677012900832414,1.8462383043101507
wbc_max,0.4943725513807508,0.7431190570538487,0.2675572049995168,0.4940956066301121,0.25979219546724247
wbc_mean,2.645386043492828,1.758224351905661,0.6996441195712594,0.7424707826621446,0.8110434684332476
