PCA comp,eigenvalue,percentage of variance,cumulative percentage of variance
comp 1,6.384717005293943,12.519052951556759,12.519052951556759
comp 2,4.92473901672272,9.656351013181808,22.175403964738567
comp 3,4.191757628448615,8.21913260480121,30.394536569539778
comp 4,3.3185655926695588,6.506991358175609,36.901527927715385
comp 5,3.0192757800518057,5.920148588336877,42.821676516052264
comp 6,2.854583362633725,5.597222279673974,48.418898795726236
comp 7,2.5142793728759143,4.929959554658659,53.348858350384894
comp 8,2.454156651708078,4.812071866094273,58.16093021647917
comp 9,2.139128227656163,4.194369073835617,62.35529929031479
comp 10,2.007913164251257,3.9370846357867806,66.29238392610156
