PCA comp,eigenvalue,percentage of variance,cumulative percentage of variance
comp 1,2.1906282828273484,12.17015712681862,12.17015712681862
comp 2,2.0500478029679465,11.389154460933051,23.559311587751672
comp 3,1.6365032204171739,9.0916845578732,32.65099614562487
comp 4,1.5502954403646443,8.612752446470259,41.263748592095126
comp 5,1.2783374056881662,7.101874476045378,48.36562306814051
comp 6,1.1193027796899273,6.21834877605516,54.583971844195666
comp 7,1.0372190139562143,5.76232785531231,60.34629969950798
comp 8,0.9582965530646398,5.323869739248006,65.67016943875598
comp 9,0.9142957735221995,5.079420964012226,70.7495904027682
comp 10,0.7799456389260857,4.3330313273671495,75.08262173013536
